State,Population_2011,Region 
Amazonas,146480,Guayana 
Anzoátegui,1469747,Eastern 
Apure,459025,Llanos 
Aragua,1630308,Central 
Barinas,816264,Andean 
Bolívar,1410964,Guayana 
Carabobo,2245744,Central 
Cojedes,323165,Central 
Delta.Amacuro,167676,Guayana 
Falcón,902847,Central-Western 
Guárico,747739,Llanos 
La.Guaira,352920,Capital 
Lara,1774867,Central-Western 
Mérida,828592,Andean 
Miranda,2675165,Capital 
Monagas,905443,Eastern 
Nueva.Esparta,491610,Insular 
Portuguesa,876496,Central-Western 
Sucre,896291,Eastern 
Táchira,1168908,Andean 
Trujillo,686367,Andean 
Yaracuy,600852,Central-Western 
Zulia,3704404,Zulian 
Distrito.Capital,1943901,Capital 
Los.Roques,2155,Insular 
