"id","Name","Population","code"
1,"Hà N<U+1ED9>i",8053664,16
2,"TP HCM",8993082,19
28,"Thanh Hóa",3640128,53
29,"Ngh<U+1EC7> An",3327791,36
48,"Ð<U+1ED3>ng Nai",3097107,12
44,"Bình Duong",2426561,2
51,"An Giang",1908352,61
21,"H<U+1EA3>i Duong",1892254,22
40,"Ð<U+1EAF>k L<U+1EAF>k",1869322,45
26,"Thái Bình",1860447,50
3,"H<U+1EA3>i Phòng",1837173,24
18,"B<U+1EAF>c Giang",1803950,6
25,"Nam Ð<U+1ECB>nh",1780393,35
53,"Ti<U+1EC1>n Giang",1764185,54
54,"Kiên Giang",1723067,27
49,"Long An",1688547,33
50,"Ð<U+1ED3>ng Tháp",1599504,23
38,"Gia Lai",1513847,14
34,"Qu<U+1EA3>ng Nam",1495812,42
37,"Bình Ð<U+1ECB>nh",1486918,63
15,"Phú Th<U+1ECD>",1463726,39
19,"B<U+1EAF>c Ninh",1368840,8
17,"Qu<U+1EA3>ng Ninh",1320324,44
42,"Lâm Ð<U+1ED3>ng",1296606,30
30,"Hà Tinh",1288866,18
56,"B<U+1EBF>n Tre",1288463,9
12,"Thái Nguyên",1286751,51
22,"Hung Yên",1252731,21
14,"Son La",1248415,48
55,"C<U+1EA7>n Tho",1235171,13
35,"Qu<U+1EA3>ng Ngãi",1231697,43
41,"Khánh Hòa",1231107,26
47,"Bình Thu<U+1EAD>n",1230808,4
59,"Sóc Trang",1199653,47
61,"Cà Mau",1194476,10
46,"Tây Ninh",1169165,49
16,"Vinh Phúc",1154154,59
52,"Bà R<U+1ECB>a - Vung Tàu",1148313,62
4,"Ðà N<U+1EB5>ng",1134310,1
33,"Th<U+1EEB>a Thiên Hu<U+1EBF>",1128620,52
57,"Vinh Long",1022791,58
58,"Trà Vinh",1009168,55
43,"Bình Phu<U+1EDB>c",994679,3
27,"Ninh Bình",982487,37
39,"Phú Yên",961152,40
60,"B<U+1EA1>c Liêu",907236,5
31,"Qu<U+1EA3>ng Bình",895430,41
5,"Hà Giang",854679,15
23,"Hòa Bình",854131,20
24,"Hà Nam",852800,17
13,"Yên Bái",821030,60
9,"Tuyên Quang",784811,57
10,"L<U+1EA1>ng Son",781655,32
64,"H<U+1EAD>u Giang",733017,25
8,"Lào Cai",730420,29
32,"Qu<U+1EA3>ng Tr<U+1ECB>",632375,46
63,"Ð<U+1EAF>k Nông",622168,34
62,"Ði<U+1EC7>n Biên",598856,56
45,"Ninh Thu<U+1EAD>n",590467,38
36,"Kon Tum",540438,28
6,"Cao B<U+1EB1>ng",530341,11
7,"Lai Châu",460196,31
11,"B<U+1EAF>c K<U+1EA1>n",313905,7
