"provincepc","province","pop_1982","pop_1992","pop_2002","pop_2012","m_pop_2012","f_pop_2012"
12,"Mashonaland Central",563407,857318,998265,1139940,559702,580238
16,"Matabeleland South",519606,591747,654879,685046,328009,357037
18,"Masvingo",1031697,1221845,1318705,1486604,691350,795254
15,"Matabeleland North",885339,640957,701359,743871,359173,384698
17,"Midlands",1091844,1302214,1466331,1622476,779233,843243
14,"Mashonaland West",858962,1116928,1222583,1449938,721218,728720
10,"Bulawayo",0,620936,676787,655675,304446,351229
11,"Manicaland",1099202,1537676,1566889,1755000,831762,923238
13,"Mashonaland East",1495984,1033336,1125355,1337059,648207,688852
19,"Harare",0,1478810,1903510,2098199,1011831,1086368
