id,ID_0,ISO,NAME_0,ID_1,NAME_1,TYPE_1,ENGTYPE_1,NL_NAME_1,VARNAME_1
NA,12,ARG,Argentina,1,Buenos Aires,Provincia,Province,,Baires|Buenos Ayres
NA,12,ARG,Argentina,2,Córdoba,Provincia,Province,,Cordova
NA,12,ARG,Argentina,3,Catamarca,Provincia,Province,,
NA,12,ARG,Argentina,4,Chaco,Provincia,Province,,El Chaco|Presidente Juan Peron
NA,12,ARG,Argentina,5,Chubut,Provincia,Province,,
NA,12,ARG,Argentina,6,Ciudad de Buenos Aires,Distrito Federal,Federal District,,BUENOS AIRES D.F.|Capital Federal|Distretto Federale|Distrito Federal|Federal Capital
NA,12,ARG,Argentina,7,Corrientes,Provincia,Province,,
NA,12,ARG,Argentina,8,Entre Ríos,Provincia,Province,,Entre-Rios
NA,12,ARG,Argentina,9,Formosa,Provincia,Province,,
NA,12,ARG,Argentina,10,Jujuy,Provincia,Province,,
NA,12,ARG,Argentina,11,La Pampa,Provincia,Province,,El Pampa|Eva Perón
NA,12,ARG,Argentina,12,La Rioja,Provincia,Province,,
NA,12,ARG,Argentina,13,Mendoza,Provincia,Province,,
NA,12,ARG,Argentina,14,Misiones,Provincia,Province,,Missões
NA,12,ARG,Argentina,15,Neuquén,Provincia,Province,,Neuquén
NA,12,ARG,Argentina,16,Río Negro,Provincia,Province,,
NA,12,ARG,Argentina,17,Salta,Provincia,Province,,
NA,12,ARG,Argentina,18,San Juan,Provincia,Province,,
NA,12,ARG,Argentina,19,San Luis,Provincia,Province,,
NA,12,ARG,Argentina,20,Santa Cruz,Provincia,Province,,
NA,12,ARG,Argentina,21,Santa Fe,Provincia,Province,,Santa Fé
NA,12,ARG,Argentina,22,Santiago del Estero,Provincia,Province,,
NA,12,ARG,Argentina,23,Tierra del Fuego,Territorio Nacional|Provincia,National Territory,,Feuerland|Terra del Fuoco|Terre de Feu|Terra do Fogo|Tierra del Fuego|Antártida e Islas del Atlántico Sur
NA,12,ARG,Argentina,24,Tucumán,Provincia,Province,,Tucumão
