objectid,cir_sena,codregion,area_km,st_area_sh,st_length_,Region,matchName
1084,1,15,16866.81984442,18868687743.9,750529.550114,Región de Arica y Parinacota,Arica y Parinacota
1085,2,1,42284.56748354,48306372202.6,1213713.11532,Región de Tarapacá,Tarapacá
1086,3,2,126071.43198068,150845155633,2516112.01662,Región de Antofagasta,Antofagasta
1087,15,12,133053.14234459001,358131609833,90498303.5626,Región de Magallanes y Antártica Chilena,Magallanes
1088,14,11,106703.37736925,224274263072,41444810.6247,Región de Aysén del Gral.Ibañez del Campo,Aysén
1089,4,3,75661.24863472,96439063561.8,2401740.67158,Región de Atacama,Atacama
1090,5,4,40575.90168192,54980818748.6,2065933.11049,Región de Coquimbo,Coquimbo
1091,6,5,16322.97039271,23014748570.7,1679609.19263,Región de Valparaíso,Valparaíso
1092,7,13,15392.030737,22252038245.8,1064252.63501,Región Metropolitana de Santiago,Metropolitana
1093,13,10,48408.37135747,87718341939.8,7874157.85642,Región de Los Lagos,Los Lagos
1094,12,14,18245.08056272,31086613540.1,1844422.51609,Región de Los Ríos,Los Ríos
1095,11,9,31837.56763429,52215073343.9,1501025.2482,Región de La Araucanía,Araucania
1096,10,8,24021.62159439,38176117509.3,2097147.28898,Región del Bío-Bío,Biobío
1097,10,16,13104.41323064,20376298459.3,1074093.83999,Región de Ñuble,Ñuble
1098,9,7,30321.89065833,45969426092.2,1388327.97603,Región del Maule,Maule
1099,8,6,16349.02995665,24090278437.3,984852.617228,Región del Libertador Bernardo O'Higgins,O'Higgins
