OBJECTID,REG_CODE,Region_Name_AR,region_name_en,GovCounts,TotalConfirmed,TotalDeaths,TotalRecovered,TotalActive,TotalCalculatedRecords,GlobalID,Shape__Area,Shape__Length
1,R01,الرياض,Ar Riyad,23,126826,1518,123926,1382,8993,d185b154-0ee0-4bb4-a98d-c662140dcd63,446484785429.625,3678036.8132711
2,R04,القصيم,Al Qaseem,13,20383,275,19365,743,4424,7c50fd28-fe5e-4b8e-afc9-0804419a0806,87800636149.5723,1648646.36282583
3,R08,حائل,Hail,9,11196,211,10514,471,1937,1b808d02-4920-42f5-b7d6-2b0da5a85c3d,153113260919.125,2119177.82881733
4,R09,الحدود الشماليه,Northern Borders,4,4934,111,4451,372,1395,bebf8b46-d452-4ecf-9789-f7fe7ea1478e,132058533828.372,2500029.84837762
5,R11,نجران,Najran,7,9942,104,9470,368,1788,1a241276-75d1-42f6-8979-9257eb8ce0db,142086511600.002,2365764.45550422
6,R12,الباحة,Al Bahah,10,6897,88,6591,218,2240,fcaa0afb-3847-4296-8e7f-24d69c4ca0a8,12712570575.8428,640363.569896605
7,R13,الجوف,Al Jawf,4,2419,118,2217,84,1431,3fb5c281-87f9-433d-a4af-eb5b06cdb6cd,117211790791.122,2125698.97904912
8,R02,مكة المكرمة,Makkah Al Mukarramah,17,127011,2990,121966,2055,6698,60475655-9bfd-494f-a48d-e93c764a1aa6,162784199017.716,3848526.74339861
9,R03,المدينة المنورة,Al Madinah Al Munawwarah,9,38418,302,37238,878,3071,3926ecf6-c268-4122-9745-19b936c45f73,176715634891.067,2900220.67501797
10,R05,المنطقة الشرقية,Eastern Region,12,115557,1260,112730,1567,8203,964e67e5-2464-4bc9-b495-ff0335093546,625322701891.872,6062190.76117767
11,R06,عسير,Aseer,17,39593,605,37980,1008,6444,f0d13d77-23a0-437f-98bc-6f751bd2a686,86730844340.8496,1914297.23658905
12,R07,تبوك,Tabuk,7,8164,102,7683,379,1923,088318ae-b2ab-4d4e-a172-c14eff328dd4,174629933492.134,3325343.67598925
13,R10,جازان,Jazan,17,19641,613,18242,786,4338,1456039d-36b7-49b9-9716-e968b292cb5a,13491985604.1123,948989.032349218
