id,id_0,iso,name_0,id_1,name_1,hasc_1,ccn_1,cca_1,type_1,engtype_1,nl_name_1,varname_1
dk009rq9138.1,213,KOR,South Korea,1,Busan,KR.PU,0,NA,Gwangyeoksi,Metropolitan City,부산광역시 | 釜山廣域市,Pusan|Busan Gwang'yeogsi|Pusan-gwangyoksi|Fusan
dk009rq9138.2,213,KOR,South Korea,2,Chungcheongbuk-do,KR.GB,0,NA,Do,Province,충청북도 | 忠淸北道,Chungchongbuk-Do|Chungcheongbugdo|Ch'ungch'ong-bukto|Chusei Hoku-do|North Chungchong|Ch'ungch'ong-bukto
dk009rq9138.3,213,KOR,South Korea,3,Chungcheongnam-do,KR.GN,0,NA,Do,Province,충청남도 | 忠淸南道,Chungchongnam-Do|Ch'ungch'ong-namdo|Chusei Nan-do|South Chungchong|Ch'ungch'ong-namdo
dk009rq9138.4,213,KOR,South Korea,4,Daegu,KR.TG,0,NA,Gwangyeoksi,Metropolitan City,대구광역시 | 大邱廣域市,Taegu|Daegu Gwang'yeogsi|Taegu-gwangyoksi|Taikyu
dk009rq9138.5,213,KOR,South Korea,5,Daejeon,KR.TJ,0,NA,Gwangyeoksi,Metropolitan City,대구광역시 | 大邱廣域市,Daejeon Gwang'yeogsi|Taejŏn-gwangyŏksi|Taiden
dk009rq9138.6,213,KOR,South Korea,6,Gangwon-do,KR.KW,0,NA,Do,Province,강원도 | 江原道,Kang-Won-Do|Gang'weondo|Kangwon-do|Kogen-do|South Kangwon
dk009rq9138.7,213,KOR,South Korea,7,Gwangju,KR.KJ,0,NA,Gwangyeoksi,Metropolitan City,광주광역시 | 光州廣域市,Kwangju|Kwangju-gwangyoksi
dk009rq9138.8,213,KOR,South Korea,8,Gyeonggi-do,KR.KG,0,NA,Do,Province,경기도 | 京畿道,Kyonggi-do|Keiki-do|Kyunggi
dk009rq9138.9,213,KOR,South Korea,9,Gyeongsangbuk-do,KR.KB,0,NA,Do,Province,경상북도 | 慶尙北道,Kyongsangbuk-Do|Gyeongsangbugdo|Kyongsang-bukto|Keisho Hoku-do|North Kyongsang
dk009rq9138.10,213,KOR,South Korea,10,Gyeongsangnam-do,KR.KN,0,NA,Do,Province,경상남도 | 慶尙南道,Kyongsangnam-Do|Kyongsang-namdo|Keisho Nan-do|South Kyongsang
dk009rq9138.11,213,KOR,South Korea,11,Incheon,KR.IN,0,NA,Gwangyeoksi,Metropolitan City,인천광역시 | 仁川廣域市,Inchon|IInch'on-gwangyoksi|Jinsen
dk009rq9138.12,213,KOR,South Korea,12,Jeju,KR.CJ,0,NA,Do,Province,제주특별자치도 | 濟州特別自治道,Jeju-doQuelpart|Saishu-to|Cheju-do
dk009rq9138.13,213,KOR,South Korea,13,Jeollabuk-do,KR.CB,0,NA,Do,Province,전라북도 | 全羅北道,Chollabuk-Do|Cholla-bukto|Jeonrabugdo|North Cholla|Zenra Hoku-do
dk009rq9138.14,213,KOR,South Korea,14,Jeollanam-do,KR.CN,0,NA,Do,Province,전라남도 | 全羅南道,Chollanam-Do|Cholla-namdo|Jeonranamdo|South Cholla|Zenra Nan-do
dk009rq9138.15,213,KOR,South Korea,15,Sejong,KR.SJ,0,NA,Do,Metropolitan Autonomous City,세종특별자치시,Sejong Metropolitan Autonomous City
dk009rq9138.16,213,KOR,South Korea,16,Seoul,KR.SO,0,NA,Teukbyeolsi,Capital Metropolitan City,서울특별시,Keijo|Séoul|Seul|Seúl|Söul|Soul-t'ukpyolsi
dk009rq9138.17,213,KOR,South Korea,17,Ulsan,KR.UL,0,NA,Metropolitan City,Metropolitan City,울산광역시 | 蔚山廣域市,Ulsan-gwangyoksi
