Location,Pop2015
Abra,241160
Agusan del Norte,691566
Agusan del Sur,700653
Aklan,574823
Albay,1314826
Antique,582012
Apayao,119184
Aurora,214336
Autonomous Region In Muslim Mindanao,3781387
Basilan,459367
Bataan,760650
Batanes,17246
Batangas,2694335
Benguet,791590
Biliran,171612
Bohol,1313560
Bukidnon,1415226
Bulacan,3292071
Cagayan,1199320
Caloocan City,1583978
Camarines Norte,583313
Camarines Sur,1952544
Camiguin,88478
Capiz,761384
Catanduanes,260964
Cavite,3678301
Cebu,4224247
City of Las Piñas,588894
City of Makati,582602
City of Malabon,365525
City of Mandaluyong,386276
City of Manila,1780148
City of Marikina,450741
City of Muntinlupa,504509
City of Navotas,249463
City of Parañaque,665822
City of Pasig,755300
City of San Juan,122180
City of Valenzuela,620422
Cordillera Administrative Region,1722006
Cotabato,1379747
Davao de Oro,736107
Davao del Norte,1016332
Davao del Sur,2265579
Davao Occidental,316342
Davao Oriental,558958
Dinagat Islands,127152
Eastern Samar,467160
General Santos City,594446
Guimaras,174613
Ifugao,202802
Ilocos Norte,593081
Ilocos Sur,689668
Iloilo,2384415
Isabela,1593566
Kalinga,212680
La Union,786653
Laguna,3035081
Lanao del Norte,1019013
Lanao del Sur,1045429
Lapu-Lapu City,408112
Leyte,1966768
Maguindanao,1473371
Marinduque,234521
Masbate,892393
Mimaropa Region,2963360
Misamis Occidental,602126
Misamis Oriental,1564459
Mountain Province,154590
NCR,12877253
Negros Island Region,4414131
Negros Occidental,3059136
Negros Oriental,1354995
Northern Samar,632379
Nueva Ecija,2151461
Nueva Vizcaya,452287
Occidental Mindoro,487414
Oriental Mindoro,844059
Palawan,1104585
Pampanga,2609744
Pangasinan,2956726
Pasay City,416522
Pateros,63840
PHILIPPINES,100981437
Quezon,2122830
Quezon City,2936116
Quirino,188991
Region I,5026128
Region II,3451410
Region III,11218177
Region IV-A,14414774
Region IX,3629783
Region V,5796989
Region VI,4477247
Region VII,6041903
Region VIII,4440150
Region X,4689302
Region XI,4893318
Region XII,4545276
Region XIII,2596709
Rizal,2884227
Romblon,292781
Samar,780481
Sarangani,544261
Siquijor,95984
Sorsogon,792949
South Cotabato,915289
Southern Leyte,421750
Sultan Kudarat,812095
Sulu,824731
Surigao del Norte,485088
Surigao del Sur,592250
Taguig City,804915
Tarlac,1366027
Tawi-Tawi,390715
Zambales,823888
Zamboanga del Norte,1011393
Zamboanga del Sur,1872473
Zamboanga Sibugay,633129
Cordillera Administrative Region (CAR),1722006
Benguet (excluding Baguio City),446224
Baguio City,345366
Region I (Ilocos Region),5026128
Region II (Cagayan Valley),3451410
Region III (Central Luzon),11218177
Pampanga (excluding Angeles City),2198110
Angeles City,411634
Zambales (excluding Olongapo City),590848
Olongapo City,233040
Region IV-A (Calabarzon),14414774
Quezon (excluding Lucena City),1856582
Lucena City,266248
Palawan (excluding Puerto Princesa City),849469
Puerto Princesa City,255116
Region V (Bicol Region),5796989
Region VI (Western Visayas),4477247
Iloilo (excluding Iloilo City),1936423
Iloilo City,447992
Region VII (Central Visayas),6041903
"Cebu (excluding The Cities of Cebu, Lapu-Lapu, And Mandaue)",2938982
Cebu City,922611
Lapu-Lapu City (Opon),408112
Mandaue City,362654
Negros Island Region (NIR),4414131
Negros Occidental (excluding Bacolod City),2497261
Bacolod City,561875
Region VIII (Eastern Visayas),4440150
Leyte (excluding Tacloban City),1724679
Tacloban City,242089
Samar (Western Samar),780481
Region IX (Zamboanga Peninsula),3629783
Zamboanga del Sur (excluding Zamboanga City),1010674
Zamboanga City,861799
City of Isabela,112788
Region X (Northern Mindanao),4689302
Lanao del Norte (excluding Iligan City),676395
Iligan City,342618
Misamis Oriental (excluding Cagayan de Oro City),888509
Cagayan de Oro City,675950
Region XI (Davao Region),4893318
Davao del Sur (excluding Davao City),632588
Davao City,1632991
Region XII (SOCCSKSARGEN),4545276
Cotabato (North Cotabato),1379747
South Cotabato (excluding General Santos City),915289
General Santos City (Dadiangas),594446
Cotabato City,299438
Autonomous Region In Muslim Mindanao (ARMM),3781387
Basilan (excluding City of Isabela),346579
Maguindanao (excluding Cotabato City),1173933
Region XIII (Caraga),2596709
Agusan del Norte (excluding Butuan City),354503
Butuan City,337063
